filename,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37
"Jacques Offenbach, Razumovsky Symphony Orchestra, Long Yu - Orphee aux enfers (Orpheus in the Underworld)- Orpheus in the Underworld- Can-Can (Peter's Friend).mp3",-269.0145568847656,141.56741333007812,-19.596702575683594,21.54564094543457,-4.589437961578369,0.8591827154159546,-4.212161064147949,-2.7628607749938965,-6.11702823638916,1.0730291604995728,-3.0556535720825195,-0.6492660045623779,-3.1076107025146484,0.1596204936504364,0.30240699648857117,0.4676617980003357,0.2578676640987396,0.34433895349502563,0.18726027011871338,0.28335925936698914,0.3139430582523346,0.2886318862438202,0.5385074019432068,0.2563175857067108,0.23643583059310913,19.063160980214967,15.478291616965732,18.91053431840989,20.49107183084701,21.429902357124156,22.754950110266382,50.77853207000389,0.0681810880962171,1307.534825076772,1547.0861030294304,2523.3451583437136,0.044909555464982986
"Jain, Ian Asher - Makeba - Ian Asher Remix.mp3",-37.26805114746094,101.41602325439453,-0.08373551070690155,14.19748306274414,6.029300689697266,2.452288866043091,-1.296278953552246,2.6108391284942627,-2.2690470218658447,2.945112466812134,-1.9524561166763306,2.5721945762634277,-5.836391448974609,0.3463822305202484,0.28202059864997864,0.44332191348075867,0.40423399209976196,0.28247717022895813,0.35223188996315,0.41134053468704224,0.6559411883354187,0.5103012323379517,0.3440782427787781,0.39486756920814514,0.41814088821411133,21.160678767995023,16.10676666669728,17.468507753636427,17.746253189976027,17.41704566311768,17.740318859918606,47.551237696946835,0.0885938520401993,2250.8992352876458,2437.2442452957594,4837.604081003289,0.2909547686576843
James Hype - Dancing.mp3,-93.47537231445312,96.89478302001953,27.067501068115234,13.023277282714844,3.319824695587158,13.126299858093262,1.2985919713974,6.708878517150879,-4.096332550048828,3.2058067321777344,-1.6029598712921143,1.3975694179534912,-2.886631727218628,0.7522213459014893,0.518822193145752,0.42916804552078247,0.38426047563552856,0.32517942786216736,0.2614303231239319,0.25997355580329895,0.3947726786136627,0.35829871892929077,0.35627856850624084,0.43990063667297363,0.5294841527938843,20.5218634778753,15.108832670167397,16.330541099660802,16.581010253965,16.86643055770311,16.139336544998194,47.73061038563508,0.07739456223998646,2210.8002510072756,2542.981678104246,4892.062085036523,0.2909916639328003
"James Hype, Major Lazer - Number 1.mp3",-56.88228225708008,100.78186798095703,-45.161048889160156,1.4270987510681152,-21.6356143951416,-8.056264877319336,-12.315235137939453,1.2434844970703125,-8.838836669921875,1.1267541646957397,-1.6938858032226562,3.3610916137695312,3.4650492668151855,0.5960422158241272,0.4311496913433075,0.4183393120765686,0.5824398994445801,0.46541082859039307,0.35808753967285156,0.35699450969696045,0.44479605555534363,0.7287105917930603,0.5375564098358154,0.4206785261631012,0.5109454393386841,20.762246809455885,13.192863145834673,16.24610261343341,16.187010805255102,15.97807020088548,17.735255489672745,50.21325692760781,0.10077017674874227,2196.829538955038,2071.748282207674,4334.348790785845,0.25143277645111084
"James Hype, Miggy Dela Rosa - Ferrari.mp3",-96.61199188232422,72.82136535644531,-2.2322380542755127,12.36544418334961,5.761938095092773,5.275044918060303,0.36949247121810913,10.506241798400879,-5.055152416229248,4.287345886230469,3.9742839336395264,3.696202039718628,0.584642231464386,0.38198137283325195,0.5875789523124695,0.408341646194458,0.484791100025177,0.3851126432418823,0.3357140123844147,0.3153183162212372,0.3469656705856323,0.47072499990463257,0.42447471618652344,0.4351010024547577,0.42314261198043823,20.936695589625383,15.276148673714566,19.557373880933984,18.69233613475142,18.321326571743043,17.455753361952638,48.426756009778885,0.1004368454310178,2541.0912331592185,2612.565021812787,5412.648520454903,0.23380839824676514
"James Hype, Miggy Dela Rosa, Lazza - Ferrari - Remix.mp3",-58.30632019042969,70.0879898071289,0.7130913138389587,0.5146600604057312,6.100527763366699,2.393472194671631,0.586925745010376,9.482138633728027,-4.9084553718566895,3.894737482070923,3.636113405227661,4.290998935699463,1.5605244636535645,0.351189523935318,0.5000778436660767,0.39951831102371216,0.48601728677749634,0.36728426814079285,0.3222363293170929,0.32743632793426514,0.322113960981369,0.4270244538784027,0.3999004662036896,0.4222619831562042,0.39812538027763367,21.73313005875582,15.984300770161243,20.02842089970497,18.895002570498114,18.53767347127089,17.392208159346673,47.50052156274299,0.1110617811834849,2821.58756112754,2871.3647307880287,6275.403720158911,0.25942331552505493
"James Hype, Tita Lau - Disconnected.mp3",-109.58924102783203,70.84136962890625,11.827230453491211,20.570417404174805,10.364463806152344,9.912164688110352,-8.599608421325684,7.727835178375244,0.7658896446228027,6.432136535644531,0.6385683417320251,4.062245845794678,1.3184142112731934,0.3877466022968292,0.44317278265953064,0.622595489025116,0.5573880672454834,0.423127681016922,0.3755318224430084,0.4257499873638153,0.5034200549125671,0.44859379529953003,0.46040987968444824,0.4071672260761261,0.4114498496055603,22.656960447580033,15.013957012544179,18.021109085124227,16.320038038847215,17.02122315415963,16.58907488935593,47.27560882988114,0.10677146321110681,2510.778373744442,2460.2249535497394,5117.30863966809,0.29673099517822266
"Jamie Jones, Vintage Culture - My Paradise - Vintage Culture Remix.mp3",-86.019287109375,89.09516143798828,-5.992969989776611,10.68248462677002,-7.438249588012695,-0.46836376190185547,-7.574422836303711,0.17480072379112244,-1.230378270149231,0.6477447748184204,-7.820653438568115,-4.85884428024292,-7.910426616668701,0.4376685619354248,0.5182406306266785,0.32496535778045654,0.31888875365257263,0.35932090878486633,0.6066991090774536,0.514329731464386,0.38395941257476807,0.47077998518943787,0.48764193058013916,0.6832312941551208,0.41402938961982727,22.06390327266506,14.76527145286514,15.942426298137406,17.17592102898127,17.98982485978527,18.085281773213563,48.756055257908294,0.11331554684476587,2300.6651471418304,2290.8338295471162,4660.186403823711,0.2201279252767563
"Jason Derulo, 2 Chainz - Talk Dirty (feat. 2 Chainz).mp3",-59.29826736450195,64.41373443603516,-14.977802276611328,16.86152458190918,-0.13826315104961395,1.4818017482757568,-5.575308799743652,4.794617176055908,-3.085557699203491,7.751316070556641,-4.510842323303223,1.603822112083435,-3.3339333534240723,0.36666080355644226,0.4406127333641052,0.41975146532058716,0.3886669874191284,0.45449966192245483,0.5272448658943176,0.6015352606773376,0.5398373603820801,0.5057324171066284,0.5431278944015503,0.4764714241027832,0.4450107216835022,20.795092445730802,15.42901311329861,17.94006172564324,16.96608005344026,17.894956272196993,18.183234187160533,49.7876590786094,0.12459826395607586,2745.1785797936186,2568.156191821996,5594.01409042878,0.24988889694213867
"Jason Derulo, Nicki Minaj, Ty Dolla $ign - Swalla (feat. Nicki Minaj & Ty Dolla $ign).mp3",-50.33836364746094,88.0172119140625,11.40998363494873,13.631814956665039,17.233022689819336,8.147790908813477,5.184206962585449,3.162816047668457,-3.10079026222229,3.465757131576538,-0.34481489658355713,2.019472122192383,-2.867647886276245,0.3486312925815582,0.3902663588523865,0.401221364736557,0.4927023649215698,0.4086245000362396,0.3307582139968872,0.5161799192428589,0.4483047425746918,0.45013007521629333,0.3594241738319397,0.3575294017791748,0.38355523347854614,20.30809075509739,16.171328266355452,19.010712178571445,17.687411621614636,18.221367412117353,17.91557536870255,46.78061937173948,0.09507378262262964,2418.1655358703124,2685.392809584185,5484.033505466331,0.29558131098747253
"Jason Derulo, Snoop Dogg - Wiggle (feat. Snoop Dogg).mp3",-104.9607162475586,55.52450942993164,1.2181645631790161,11.162785530090332,3.5025317668914795,5.352136135101318,-3.1697680950164795,11.694348335266113,-2.5870211124420166,0.08571608364582062,-5.458436489105225,-1.4652267694473267,-0.34615635871887207,0.443025141954422,0.2792131304740906,0.32116249203681946,0.32003000378608704,0.43026748299598694,0.3590211868286133,0.30681198835372925,0.3211539387702942,0.37911713123321533,0.4865785837173462,0.3125569522380829,0.35979434847831726,22.056150073048066,16.311096844553145,18.195327709316032,20.721238479098126,18.29795212193284,17.63980776943229,47.67446586614466,0.11978347825561146,2914.504155217198,2764.877741507905,6135.579565656443,0.22673167288303375
"Jaxomy, Agatino Romero, Raffaella Carrà - Pedro.mp3",-46.94988250732422,67.89710998535156,8.020303726196289,22.897232055664062,8.592486381530762,10.88866901397705,2.704319953918457,13.131950378417969,3.861100196838379,5.824004650115967,-3.467417001724243,5.863224029541016,-1.9147671461105347,0.5621305108070374,0.4327562749385834,0.3987581133842468,0.4370131492614746,0.5580937266349792,0.55555260181427,0.41484755277633667,0.4181235134601593,0.4933219850063324,0.5859906673431396,0.526939868927002,0.5269898772239685,21.000222042609852,13.603777362191336,16.674082253562197,18.93703139177125,18.103221854569384,16.82340593077915,48.522597692301005,0.12235319060806889,2718.751921084266,2742.3108939129106,5893.1976979731035,0.27819815278053284
Jean Massey - Asereje.mp3,-19.277923583984375,64.33922576904297,-0.09244690835475922,21.552330017089844,5.94539737701416,8.914467811584473,3.939218044281006,5.362697601318359,-0.6083154082298279,4.787035942077637,-2.424872398376465,3.3076722621917725,-2.7675564289093018,0.4454125463962555,0.5628690719604492,0.5696398615837097,0.6091160178184509,0.5278990268707275,0.5457857251167297,0.5359497666358948,0.48037493228912354,0.5093947649002075,0.5046229362487793,0.5631040930747986,0.4742417335510254,18.919870239995753,13.672496297882379,16.13325425446051,15.560399745424197,16.114456760474255,17.044454726564847,47.22067763998161,0.13361918446449303,2921.03886059747,2758.481982287534,6078.909075001814,0.28756797313690186
Jengi - Bel Mercy.mp3,-124.36896514892578,64.06160736083984,-43.93153762817383,7.388976573944092,-3.948214530944824,3.7490007877349854,-3.0010998249053955,3.840134382247925,-4.767436981201172,1.1202071905136108,3.4649646282196045,0.3525331914424896,-7.422173023223877,0.2712303698062897,0.21501724421977997,0.30322372913360596,0.44739148020744324,0.5683599710464478,0.48751676082611084,0.3995411992073059,0.37681835889816284,0.41577816009521484,0.3662869930267334,0.29433614015579224,0.3845689594745636,19.4467867415642,13.863178943432278,18.822688227674572,20.339452111141128,20.332636346411714,18.867503148358782,48.288465470763164,0.11089728860294118,2271.6713616014517,2104.2187107467716,4220.245314087292,0.21765652298927307
"Jennifer Lopez, Pitbull - On The Floor.mp3",-77.68266296386719,94.75100708007812,3.4542088508605957,21.136699676513672,2.7422971725463867,5.927206993103027,4.039673805236816,1.2061707973480225,-0.43231409788131714,5.715030670166016,-3.65547251701355,4.492802619934082,-1.769569754600525,0.3077450096607208,0.3739069402217865,0.38968971371650696,0.5516695976257324,0.36919668316841125,0.38910973072052,0.3860284686088562,0.3287992775440216,0.36725398898124695,0.38477805256843567,0.571000874042511,0.3478071987628937,19.127276341518,15.49320450476445,18.222443926309648,17.587955437494013,17.79842763118188,18.713893282172794,48.292162594747644,0.089412157749613,2284.100366690451,2502.620430265083,4885.903788941563,0.20351487398147583
"Joel Corry, MNEK - Head & Heart (feat. MNEK).mp3",-19.668697357177734,67.42293548583984,3.3279013633728027,19.174531936645508,-0.05549827218055725,8.361100196838379,0.3656798005104065,2.0622525215148926,-8.035229682922363,6.1309494972229,2.521570920944214,6.683111667633057,-0.33009177446365356,0.4247986972332001,0.30274519324302673,0.3369043171405792,0.48678797483444214,0.3399852216243744,0.3940672278404236,0.3078780174255371,0.41241881251335144,0.5265325903892517,0.4336782693862915,0.46582621335983276,0.35332825779914856,20.871699653169784,16.227145557548127,18.985246938458907,17.486654240909242,16.920002693654137,17.446305174975826,48.38203961568939,0.1263837784805534,2866.8161027004658,2749.9309329463995,6093.981900525167,0.2811693549156189
